UTC时间 | 工具名 | 搜索词
2026-08-15T12:09:35Z | WebSearch-subagent | Google Alphabet capex 2026 guidance 195 billion 205 billion AI investment
2026-08-15T12:09:38Z | WebSearch-subagent | Alphabet GOOGL Q2 2026 earnings Google Cloud operating margin segment results
2026-08-15T12:09:50Z | WebSearch-subagent | Google TPU external sales 2026 Nvidia competition antitrust remedies ruling status
2026-08-15T12:09:50Z | WebSearch-subagent | PJM capacity auction 2027 2028 results record prices data center demand Talen
2026-08-15T12:10:00Z | WebSearch-subagent | Alphabet FY2026 capital expenditure guidance 195 205 billion capex free cash flow negative
2026-08-15T12:10:02Z | WebSearch-subagent | Alphabet share issuance 70 billion 85 billion stock offering dilution 2026
2026-08-15T12:10:08Z | WebSearch-subagent | Talen Energy Q2 2026 earnings AWS data center campus ramp 2026 EBITDA guidance
2026-08-15T12:10:15Z | WebSearch-subagent | Talen Energy TLN Q2 2026 earnings EBITDA guidance 2.025 billion 2.225 billion
2026-08-15T12:10:30Z | WebSearch-subagent | Talen Energy 2026 AWS nuclear PPA Susquehanna expansion multi-customer data center deals
2026-08-15T12:10:30Z | WebSearch-subagent | data center power deals 2026 nuclear vs gas PPA prices Vistra Constellation NRG Dominion comparison
2026-08-15T12:10:32Z | WebSearch-subagent | Talen Energy TLN Fitch BB- negative outlook leverage 4.3x debt 2026
2026-08-15T12:10:42Z | WebSearch-subagent | PJM capacity auction 2028/2029 results price Talen nuclear license uprate
2026-08-15T12:10:50Z | WebSearch-subagent | Talen Energy net debt leverage 4.33x Fitch BB- negative outlook 2027 free cash flow 7 per share
2026-08-15T12:10:54Z | WebSearch-subagent | Talen Energy AWS Amazon nuclear PPA Susquehanna outage refueling 2026 risk
2026-08-15T12:11:07Z | WebSearch-subagent | Morgan Stanley 42GW data center power gap 2026 forecast unmet demand gigawatts
2026-08-15T12:11:07Z | WebSearch-subagent | Google antitrust remedies 2026 appeal status Chrome divestiture AI Overviews ruling
2026-08-15T12:11:07Z | WebSearch-subagent | Talen Energy stock risks 2026 Susquehanna outage Cornerstone integration debt valuation analyst price target
2026-08-15T12:11:09Z | WebSearch-subagent | Alphabet bond issuance 70 billion 85 billion debt financing 2026 buyback suspended
2026-08-15T12:11:12Z | WebSearch-subagent | GOOGL stock price 52-week high low August 2026
2026-08-15T12:11:32Z | WebSearch-subagent | Talen Cornerstone acquisition close FERC approval August 2026 MISO gas fleet
2026-08-15T12:11:36Z | WebSearch-subagent | Vistra VST Constellation CEG forward PE valuation August 2026 independent power stocks
2026-08-15T12:11:39Z | WebSearch-subagent | Talen Energy Q2 2026 earnings guidance stock buyback analyst rating August 2026
2026-08-15T12:11:40Z | WebSearch-subagent | Alphabet stock 2026 performance AI Mode ads rollout search revenue growth Q2 2026
2026-08-15T12:11:40Z | WebSearch-subagent | Talen Energy stock TLN Macfarlane CEO buyback private equity Rubric 2026 news
2026-08-15T12:11:55Z | WebSearch-subagent | Microsoft META forward PE ratio August 2026 mega cap valuation
2026-08-15T12:12:00Z | WebSearch-subagent | TLN Talen Energy stock price 52-week range August 2026
2026-08-15T12:12:15Z | WebSearch-subagent | Alphabet 2026 capex guidance 195-205 billion free cash flow negative Q2 TPU external
2026-08-15T12:12:22Z | WebSearch-subagent | uranium enrichment nuclear fuel supply constraint 2026 prices data center nuclear demand
2026-08-15T12:12:23Z | WebSearch-subagent | Talen Energy Susquehanna uprate PJM new generation interconnection queue 2026 gas turbines backlog
2026-08-15T12:12:59Z | WebSearch-subagent | Vistra VST PJM nuclear power exposure data center 2026 correlation Talen
