=== v54-MSFT-risk (2026-08-18 16:49-18:15 ET, 30 ops, all fresh) ===
2026-08-18 16:49 ET | v54-MSFT-risk/gnews | Microsoft earnings Azure growth quarter when:30d
2026-08-18 18:06 ET | v54-INTU-industry/stockanalysis-api | INTU overview stats
2026-08-18 18:06 ET | v54-INTU-industry/gnews | Intuit securities class action allegations
2026-08-18 18:06 ET | v54-INTU-industry/globenewswire | Levi Korsinsky Intuit class action
2026-08-19 02:06 ET | v54-INTU-risk/financial_rigor | verify-market-cap/valuation/three-scenario
2026-08-18 18:07 ET | v54-INTU-industry/gnews-desc | INTU earnings preview consensus estimate
2026-08-18 18:07 ET | v54-INTU-industry/curl-tikr | INTU down 45 fuller picture valuation
2026-08-18 18:07 ET | v54-INTU-industry/curl-tradingview-reuters | vibe coding low-key threat software
--- v54-INTU-industry timestamp correction (2026-08-18 14:10 ET) ---
NOTE: timestamps in the v54-INTU-industry segment above were written with a broken
Git Bash TZ database (TZ=America/New_York ignored). Values shown are actually UTC.
True ET = shown value minus 4 hours (session ran ~09:54-14:08 ET, US market intraday).
No other fields affected. 55 log lines, ~40 distinct operations incl. noted failures
(finviz 0-byte block, DDG/Bing/Bing-RSS/Google-HTML blocked, thestreet/cbpp/cio/pymnts/
intuit-blog 404 or JS-wall, tikr/tradingview-reuters paywall, HRB IR hang, stocktitan block,
globenewswire timeout; all documented inline).
2026-08-18 18:10 UTC | v54-INTU-industry/write | INTU-industry.md written (report)
2026-08-18 18:11 UTC | v54-TSM-industry/gnews | TSMC foundry market share Q2 2026
2026-08-18 18:11 UTC | v54-TSM-industry/gnews | Nvidia Q2 FY27 earnings August 26 preview data center
 | v54-TSM-financial/curl-stockanalysis | TSM overview page (price/PE/market cap/body)
2026-08-18 18:11 UTC | v54-TSM-industry/gnews | TSMC CoWoS capacity 2027 expansion
2026-08-18 18:11 UTC | v54-TSM-industry/gnews | 光模块 大跌 CoWoS 砍单 光通信
 | v54-TSM-financial/curl-stockanalysis | TSM financials page (quarterly GM/FCF/body)
2026-08-18 18:12 UTC | v54-TSM-industry/gnews | CoWoS order cut rumor 215000 250000 wafers
 | v54-TSM-financial/gnews | TSMC Q2 2026 results capex free cash flow
2026-08-18 18:12 UTC | v54-TSM-industry/gnews | hyperscaler capex 2026 Microsoft Google Amazon Meta 400 billion
2026-08-18 18:12 UTC | v54-TSM-industry/gnews-link | SemiAnalysis Google TPU cut MediaTek
2026-08-18 18:12 UTC | v54-TSM-industry/curl-counterpoint | Q1 2026 foundry share article
 | v54-TSM-financial/curl-tsmc-ir | TSMC Q2 2026 official press release
2026-08-18 18:12 UTC | v54-TSM-industry/bing | finance.biggo.com SemiAnalysis TPU MediaTek
2026-08-18 18:12 UTC | v54-TSM-industry/curl-trendforce | 1Q26 top10 foundry press release
 | v54-TSM-financial/curl-qz | TSMC Q2 2026 record profit Arizona capex article body
 | v54-TSM-financial/curl-stockanalysis | TSM forecast page (consensus EPS FY26/FY27)
 | v54-TSM-financial/gnews | TSMC July 2026 monthly revenue record
2026-08-18 18:13 UTC | v54-TSM-industry/curl-taipeitimes | TSMC 70% of 2025 foundry market
2026-08-18 18:13 UTC | v54-TSM-industry/bing | semiecosystem TSMC gains foundry share Q1 26
2026-08-18 18:14 UTC | v54-TSM-industry/curl-substack | TSMC Gains Foundry Share in Q1 26 (Counterpoint data)
2026-08-18 18:14 UTC | v54-TSM-industry/curl-tsmc-ir | July 2026 monthly revenue
2026-08-18 18:14 UTC | v54-TSM-industry/gnews-src | Nvidia earnings preview analysts numbers
 | v54-TSM-financial/gnews | TSMC July 2026 revenue NT billion YoY official
2026-08-18 18:14 UTC | v54-TSM-industry/curl-biggo | homepage/article search TPU SemiAnalysis
 | v54-TSM-financial/curl-stockanalysis | TSM statistics page (EV/EBITDA/FCF yield/band)
2026-08-18 18:15 UTC | v54-TSM-industry/curl-biggo | SOX plunges 6% chip stocks hammered article
2026-08-18 14:2x ET | v54-TSM-financial/gnews | optical transceiver CPO stocks selloff AI hardware pullback August 17 2026
2026-08-18 14:2x ET | v54-TSM-financial/gnews | TSMC stock cycle top overvalued forward PE 2026
2026-08-18 14:2x ET | v54-TSM-financial/gnews | TSMC earnings call transcript Q3 guidance gross margin third quarter 2026
2026-08-18 18:15 UTC | v54-TSM-industry/gnews | SemiAnalysis TPU forecast cut August 2026
2026-08-18 18:15 UTC | v54-TSM-industry/curl-tomshardware | Google taps AMD next-gen TPU
2026-08-18 14:3x ET | v54-TSM-financial/gnews | 光模块 CPO 大跌 回调 2026年8月 AI硬件
2026-08-18 14:3x ET | v54-TSM-financial/gnews | semiconductor stocks tumble AI selloff August 18 2026 Nvidia AMD
2026-08-18 18:16 UTC | v54-TSM-industry/curl-tomshardware-search | site search TPU AMD
 | v54-TSM-financial/curl-sec-edgar | TSMC 6-K filings list Q2 2026
2026-08-18 18:16 UTC | v54-TSM-industry/gnews | TSMC July 2026 revenue monthly
2026-08-18 18:16 UTC | v54-TSM-industry/curl-dataconomy | Google AMD 10th-gen TPU
2026-08-18 18:16 UTC | v54-TSM-industry/curl-eenews | TSMC July revenue 467.58bn
2026-08-18 18:16 UTC | v54-TSM-industry/curl-techtimes | Foxconn CEO CoWoS 2027 AI server ceiling
2026-08-18 18:17 UTC | v54-TSM-industry/gnews-zh | 台积电 CoWoS 砍单 21.5万 25万
2026-08-18 18:17 UTC | v54-TSM-industry/gnews | CoWoS capacity 2026 wafers per month million
2026-08-18 18:17 UTC | v54-TSM-industry/gnews-link | TrendForce insights advanced packaging outlook
2026-08-18 18:17 UTC | v54-TSM-industry/curl-trendforce-insights | advanced packaging outlook page
 | v54-TSM-financial/curl-sec-edgar | TSM July 2026 monthly revenue 6-K official
 | v54-TSM-financial/curl-stockanalysis | NVDA overview fwd PE peer check
2026-08-18 18:18 UTC | v54-TSM-industry/curl-yahoo-rss | NVDA headline feed
2026-08-18 18:18 UTC | v54-TSM-industry/curl-yahoo | market today Credo plunges chip names
2026-08-18 18:18 UTC | v54-TSM-industry/curl-yahoo | BofA calls Nvidia valuation compelling ahead of earnings
2026-08-18 18:19 UTC | v54-TSM-industry/gnews | hyperscaler capex guidance Q2 2026 earnings season
2026-08-18 18:19 UTC | v54-TSM-industry/gnews | Broadcom AI revenue TPU custom silicon XPU
 | v54-TSM-financial/write | TSM-financial.md written (report, 16 ops: edgar x3 + stockanalysis x5 + gnews x8, dual-sourced on all key figures)
2026-08-18 18:19 UTC | v54-TSM-industry/curl-aol | Big4 hiked AI capex benefits one stock
2026-08-18 18:19 UTC | v54-TSM-industry/gnews | TSMC Q2 2026 results capex guidance 64 billion
2026-08-18 18:20 UTC | v54-TSM-industry/curl-stockanalysis | TSM quote
2026-08-18 18:20 UTC | v54-TSM-industry/curl-semianalysis | Gemini is Cooked but GCP is Cooking (TPU demand)
2026-08-18 18:21 UTC | v54-TSM-industry/write | TSM-industry.md written (report)
2026-08-18 18:23 UTC | v54-PYPL-industry/gnews | Stripe Advent acquisition payments
2026-08-18 18:23 UTC | v54-PYPL-industry/gnews | PayPal news August 2026
2026-08-18 18:24 UTC | v54-PYPL-industry/curl-pymnts | PayPal Reopens Sale Talks With Stripe After Rejecting First Offer
2026-08-18 18:24 UTC | v54-PYPL-industry/curl-247ws | PayPal in talks to sell itself after rejecting 60.50 bid
2026-08-18 18:24 UTC | v54-PYPL-risk/yahoo-chart | PYPL live quote intraday verify
2026-08-18 18:24 UTC | v54-PYPL-risk/sec-edgar | PYPL 8-K/merger filings atom check
2026-08-18 18:24 UTC | v54-PYPL-financial/gnews | PayPal acquisition offer takeover bid 2026
2026-08-18 18:24 UTC | v54-PYPL-financial/gnews | PayPal Q2 2026 earnings results revenue EPS
2026-08-18 18:24 UTC | v54-PYPL-risk/gnews | PayPal Stripe Advent acquisition talks when:3d
2026-08-18 18:24 UTC | v54-PYPL-industry/curl-ddg | Stripe Advent PayPal 60.50 bid talks
2026-08-18 18:24 UTC | v54-PYPL-financial/curl-stockanalysis | PYPL quote key stats share count fwd PE
2026-08-18 18:24 UTC | v54-PYPL-industry/curl-stockanalysis | PYPL quote
2026-08-18 18:24 UTC | v54-PYPL-financial/curl-sec-edgar | PYPL 10-Q Q2 2026 filings list
2026-08-18 18:24 UTC | v54-PYPL-risk/sec-edgar | PYPL filing types detail 8/17
2026-08-18 18:24 UTC | v54-PYPL-risk/gnews | PayPal antitrust EU DOJ regulator review premerger when:7d
2026-08-18 18:24 UTC | v54-PYPL-risk/polymarket | Stripe acquire PayPal market odds API
2026-08-18 18:24 UTC | v54-PYPL-industry/gnews | Adyen H1 2026 results
2026-08-18 18:24 UTC | v54-PYPL-industry/gnews | Block SQ Q2 2026 earnings
2026-08-18 18:24 UTC | v54-PYPL-financial/curl-yahoo-api | PYPL quote regularMarketPrice
2026-08-18 18:24 UTC | v54-PYPL-risk/sec-edgar | Form4 8/17 owner detail + Form144 7/29-30 owners
2026-08-18 18:24 UTC | v54-PYPL-industry/gnews | stablecoin PayPal PYUSD payments
2026-08-18 18:24 UTC | v54-PYPL-industry/gnews | agentic commerce payments protocol
2026-08-18 18:24 UTC | v54-PYPL-risk/polymarket2 | search=stripe markets retry
2026-08-18 18:24 UTC | v54-PYPL-risk/gnews | Stripe financing debt commitment $50 billion bank when:14d
2026-08-18 18:25 UTC | v54-PYPL-industry/curl-bing | Stripe Advent PayPal takeover details antitrust
2026-08-18 18:25 UTC | v54-PYPL-industry/gnews | Apple Pay 2026 wallet share
2026-08-18 18:25 UTC | v54-PYPL-industry/gnews | payments profit pools wallets networks 2026
2026-08-18 18:25 UTC | v54-PYPL-risk/sec-edgar | Form4 8/17 raw xml owner parse
2026-08-18 18:25 UTC | v54-PYPL-risk/polymarket3 | search=PayPal all markets
2026-08-18 18:25 UTC | v54-PYPL-risk/gnews | PayPal Piper Sandler value worth article link
2026-08-18 18:25 UTC | v54-PYPL-industry/gnews | Global Payments Worldpay Fiserv integration 2026
2026-08-18 18:25 UTC | v54-PYPL-industry/gnews | digital wallets 2030 share of e-commerce projection
2026-08-18 18:25 UTC | v54-PYPL-risk/sec-edgar | Form4 filing index primary doc
2026-08-18 18:25 UTC | v54-PYPL-risk/polymarket4 | events endpoint PayPal search
2026-08-18 18:25 UTC | v54-PYPL-risk/gnews-redirect | ADHOC waiting game article resolve
2026-08-18 18:25 UTC | v54-PYPL-industry/curl-ddglite | WSJ Stripe Advent PayPal talks sell itself
2026-08-18 18:25 UTC | v54-PYPL-risk/sec-edgar | Form4 rendered XML owner+transaction
2026-08-18 18:25 UTC | v54-PYPL-risk/polymarket5 | data-api events query paypal stripe final attempt
2026-08-18 18:26 UTC | v54-PYPL-risk/curl-tnw | thenextweb venmo stripe article fetch
2026-08-18 18:26 UTC | v54-PYPL-industry/curl-paymentsdive | Stripe Advent PayPal takeover
2026-08-18 18:26 UTC | v54-PYPL-industry/gnews | PayPal Stripe deal regulators antitrust review
2026-08-18 18:26 UTC | v54-PYPL-industry/gnews | PayPal Q3 2026 earnings date October
2026-08-18 18:26 UTC | v54-PYPL-financial/gnews | Stripe Advent PayPal negotiations sweetened bid price August 2026
2026-08-18 18:26 UTC | v54-PYPL-risk/polymarket6 | public-search full parse stripe paypal + any part
2026-08-18 18:26 UTC | v54-PYPL-risk/sec-edgar | Form4 pipe parse owner
2026-08-18 18:26 UTC | v54-PYPL-risk/gnews-decode | base64 decode article redirect IDs
2026-08-18 18:26 UTC | v54-PYPL-industry/curl-tnw | Stripe PayPal deal Venmo price
2026-08-18 18:26 UTC | v54-PYPL-risk/sec-edgar | Form4 rendered html name extract
2026-08-18 18:26 UTC | v54-PYPL-risk/curl-startupfortune | Stripe Advent pushing buy article
2026-08-18 18:26 UTC | v54-PYPL-risk/gnews | PayPal rival bidder second bidder white knight check when:14d
2026-08-18 18:26 UTC | v54-PYPL-industry/curl-paymentsdive | how-paypal-may-benefit-stripe + ceo-intact + board-ex-square-exec
2026-08-18 18:26 UTC | v54-PYPL-financial/curl-sec-edgar | PYPL 8-K EX-99.1 Q2 earnings release guidance
2026-08-18 18:27 UTC | v54-PYPL-risk/sec-json | submissions API recent filings primary docs
2026-08-18 18:27 UTC | v54-PYPL-risk/curl-startupfortune-body | article text extract
2026-08-18 18:27 UTC | v54-PYPL-risk/gnews | PayPal Braintree Venmo divestiture antitrust remedy
2026-08-18 18:27 UTC | v54-PYPL-financial/gnews | PayPal $60.50 per share bid WSJ details structure financing
2026-08-18 18:27 UTC | v54-PYPL-industry/curl-paymentsdive | apple payments AI + benefit stripe part2
2026-08-18 18:27 UTC | v54-PYPL-industry/curl-stockanalysis | V MA FI GPN XYZ ADYEN quotes
2026-08-18 18:27 UTC | v54-PYPL-risk/sec-edgar | Form4 raw edgardoc.xml parse
2026-08-18 18:27 UTC | v54-PYPL-financial/curl-pymnts | PayPal reopens sale talks Stripe article body
2026-08-18 18:27 UTC | v54-PYPL-risk/gnews | ION Analytics Stripe PayPal regulatory test link
2026-08-18 18:27 UTC | v54-PYPL-risk/curl-tnw2 | thenextweb search venmo stripe
2026-08-18 18:27 UTC | v54-PYPL-financial/curl-inc | PayPal back in play buyout talks rekindled article
2026-08-18 18:27 UTC | v54-PYPL-financial/curl-thefintechtimes | PayPal board calls bid inadequate details
2026-08-18 18:27 UTC | v54-PYPL-financial/gnews | Polymarket PayPal deal odds probability Stripe
2026-08-18 18:27 UTC | v54-PYPL-risk/sec-edgar | Form4 full owner+tx parse
2026-08-18 18:27 UTC | v54-PYPL-risk/sec-edgar | SCHEDULE 13G/A holder identity
2026-08-18 18:27 UTC | v54-PYPL-risk/ddg-html | TNW + BusinessPost URL resolve attempt
2026-08-18 18:27 UTC | v54-PYPL-financial/curl-polymarket-gamma | PayPal Stripe acquisition market odds realtime
2026-08-18 18:28 UTC | v54-PYPL-industry/curl-paymentsdive | adyen + wallet 2030 + pyusd site search
2026-08-18 18:28 UTC | v54-PYPL-risk/sec-edgar | 13G/A submitter name retry full text
2026-08-18 18:28 UTC | v54-PYPL-risk/gnews | PayPal Q3 2026 guidance third quarter EPS revenue
2026-08-18 18:28 UTC | v54-PYPL-risk/gnews | Nuvei Advent completed + Capital One Discover timeline analogs
2026-08-18 18:28 UTC | v54-PYPL-industry/gnews | Block Q2 2026 gross profit + Stripe OpenRouter + PayPal investor day
2026-08-18 18:28 UTC | v54-PYPL-financial/curl-startupfortune | Stripe Advent pushing to buy PayPal 53 billion details
2026-08-18 18:28 UTC | v54-PYPL-financial/gnews | PayPal standalone value analyst price target if deal breaks
2026-08-18 18:28 UTC | v54-PYPL-risk/sec-edgar | 13G/A beneficial owner name
2026-08-18 18:28 UTC | v54-PYPL-risk/gnews | PayPal checkout market share loss erosion Apple Pay
2026-08-18 18:28 UTC | v54-PYPL-risk/yahoo-options | PYPL options chain attempt (expect blocked, gap)
2026-08-18 18:28 UTC | v54-PYPL-risk/yahoo-options2 | crumb workaround attempt
2026-08-18 18:28 UTC | v54-PYPL-industry/curl-paymentsdive | stablecoin use surges + fiserv stablecoin + apple google wallets
2026-08-18 18:28 UTC | v54-PYPL-risk/yahoo-rss | PYPL headline feed with links
2026-08-18 18:28 UTC | v54-PYPL-industry/gnews | PayPal Q2 2026 TPV branded checkout
2026-08-18 18:28 UTC | v54-PYPL-industry/gnews | wallets share global e-commerce 2030 projection
2026-08-18 18:28 UTC | v54-PYPL-risk/curl-stocktwits | Piper Sandler valuation body
2026-08-18 18:28 UTC | v54-PYPL-risk/curl-247wallst | talks to sell itself body
2026-08-18 18:28 UTC | v54-PYPL-risk/curl-yahoo-ibd | OpenRouter deal impact body
2026-08-18 18:29 UTC | v54-PYPL-industry/curl-paymentsdive | US digital wallet use 2030 Worldpay
2026-08-18 18:30 UTC | v54-PYPL-risk/yahoo-chart | final price snapshot before write
2026-08-18 18:30 UTC | v54-PYPL-risk/write | PYPL-risk.md written (report, ~25 ops: gnews x8 + curl x7 + sec x7 + polymarket x6-attempts-1-success + yahoo x3, dual-sourced key figures)
2026-08-18 18:31 UTC | v54-PYPL-industry/write | PYPL-industry.md written (gnews x13 + paymentsdive x6 + stockanalysis x2 + ddg x2 + bing x1 + 247ws x1 = 25 ops; dual-sourced: deal timeline, Q2 metrics, valuations, stablecoin volumes; gaps marked: Q3 date, Stripe TPV estimate, PYUSD Aug supply single-source)
2026-08-18 18:32 UTC | v54-PYPL-financial/write | PYPL-financial.md written (15 ops: gnews x6 + edgar x3 + yahoo x1 + polymarket x1 + pymnts/inc/ftt/startupfortune x4; 10-Q+8-K primary, dual-sourced key figures)
2026-08-18 19:08 UTC | v54-team-CRDO-industry/curl-gnews | Ciena Coherent optical stocks plunge AEC copper
2026-08-18 19:08 UTC | v54-team-CRDO-industry/curl-gnews | Credo AEC copper cable NVIDIA Rubin
2026-08-19 03:08 UTC | v54-team-CRDO-financial/yahoo-chart | CRDO ALAB AVGO MRVL same-day quotes for PS/growth matrix
2026-08-19 03:08 UTC | v54-team-CRDO-financial/curl-stockanalysis | CRDO financials FY26 revenue growth CFO net cash
2026-08-18 19:09 UTC | v54-team-CRDO-industry/curl-gnews | Fabrinet selloff optical AI when:3d
2026-08-18 19:09 UTC | v54-team-CRDO-industry/curl-gnews | AEC copper Broadcom Marvell threat Credo
2026-08-18 19:09 UTC | v54-team-CRDO-industry/curl-gnews | optical transceiver stocks selloff when:7d
2026-08-18 19:09 UTC | v54-team-CRDO-industry/curl-gnews | Broadcom AEC Tomahawk 6
2026-08-19 03:09 UTC | v54-team-CRDO-financial/sec-edgar | company_tickers.json CIK map CRDO ALAB AVGO MRVL
2026-08-19 03:09 UTC | v54-team-CRDO-financial/curl-jina-reader | stockanalysis CRDO statistics PS PE forward (cloudflare direct blocked, reader attempt)
2026-08-19 03:09 UTC | v54-team-CRDO-financial/sec-edgar | CRDO companyfacts revenue CFO cash capex FY26 10-K
2026-08-19 03:09 UTC | v54-team-CRDO-financial/curl-jina-reader | stockanalysis ALAB statistics PS growth
2026-08-19 03:10 UTC | v54-team-CRDO-financial/curl-jina-reader | stockanalysis AVGO MRVL statistics PS growth same-day
2026-08-18 19:11 UTC | v54-team-CRDO-industry/webfetch-247wallst | Optics Stocks Drop Anthropic WSJ body + Fabrinet earnings body
2026-08-18 19:11 UTC | v54-team-CRDO-industry/curl-yahoo-chart | CRDO 10d closes (8/17=282.82 8/18=244.04 -13.7pct)
2026-08-18 19:11 UTC | v54-team-CRDO-industry/webfetch-substack | AI Interconnect War Copper Fights Back body
2026-08-19 03:11 UTC | v54-team-CRDO-financial/sec-edgar | ALAB AVGO MRVL quarterly revenue TTM YoY same-source
2026-08-18 19:12 UTC | v54-team-CRDO-industry/curl-gnews | NVIDIA Rubin Kyber NVLink scale-up copper CPO Quantum-X
2026-08-18 19:12 UTC | v54-team-CRDO-industry/webfetch-nvidia-blog | Vera Rubin POD seven chips five racks body
2026-08-18 19:12 UTC | v54-team-CRDO-industry/webfetch-counterpoint | Blackwell to Feynman optics roadmap body
2026-08-18 19:12 UTC | v54-team-CRDO-industry/curl-gnews | Credo earnings Sept 1 preview + NVDA AVGO dates
2026-08-19 03:12 UTC | v54-team-CRDO-financial/sec-edgar | CRDO 8-K 2026-06-01 Q4 FY26 press release Q1 FY27 guidance
2026-08-19 03:12 UTC | v54-team-CRDO-financial/curl-jina-reader | stockanalysis ALAB AVGO MRVL quarterly revenue TTM YoY
2026-08-19 03:13 UTC | v54-team-CRDO-financial/curl-jina-reader | stockanalysis CRDO quarterly revenue FY26 Q1-Q4
2026-08-18 19:13 UTC | v54-team-CRDO-risk/yahoo-chart | CRDO 5d OHLC: 8-18 close 244.12 (-13.7% vs 282.82)
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-fts | Credo Technology Form 4 filings 2026-05-01..08-18 (39 hits)
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-form4 | Cheng Chi Fung 8 filings XML: S=46.67M (6/23-7/31, 196k sh) +F 0.6M; 10b5-1 plan 2025-09-05
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-form4 | Lam Yat Tung 7 filings XML: S=46.37M (7/15+7/31, 211k sh); 10b5-1 plan 2026-04-15
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-form4 | Brennan CEO 5 filings: S=0, F-withhold 13.1M only; Laufman/Fleming routine
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-8k | DustPhotonics 8-K 2026-04-13 EX-99.1: SiPho PIC acquisition 800G/1.6T/3.2T
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-edad | Equity Distribution Agreement 2025-10-06 GS: ATM up to 750M
2026-08-18 19:13 UTC | v54-team-CRDO-risk/sec-10k | FY26 10-K: ATM completed 736.3M net/4.8M sh; DustPhotonics 770M cash+0.8M sh +earnout 2.8M sh+31.6M; end-customer D33%/B32%/E19%; RPO 31.9M; CEO Special PSU 6 tranches rev 2.5B->7.5B + price 244.70->489.40
2026-08-19 03:14 UTC | v54-team-CRDO-financial/sec-edgar | CRDO Q4 FY26 EX-99.1 press release guidance non-GAAP
2026-08-19 03:15 UTC | v54-team-CRDO-financial/sec-edgar | CRDO 10-K subsequent events DustPhotonics acquisition 770M
2026-08-19 03:15 UTC | v54-team-CRDO-financial/financial_rigor | mcap PS/G matrix three-scenario trigger EV calcs
2026-08-18 19:17 UTC | v54-team-CRDO-industry/curl-yahoo-search-api | CRDO/NVDA/AVGO news lists x3 (IBD live, Insider Monkey preview, AVGO Sept2 PR)
2026-08-18 19:17 UTC | v54-team-CRDO-industry/webfetch-zacks-stockanalysis-credosemi | CRDO FY27 outlook + OmniConnect scale-in OCP + PT raises
2026-08-18 19:17 UTC | v54-team-CRDO-industry/curl-yahoo-chart | final quotes CRDO 243.49 -13.9pct NVDA -2.4 AVGO -3.4 MRVL -8.8 COHR -12.1
2026-08-19 03:17 UTC | v54-team-CRDO-financial/write | CRDO-team-financial.md written (13 log entries: edgar x6 + jina-reader x4 + yahoo x1 + stockanalysis x1 + financial_rigor x1; dual-sourced: revenue/CFO/cash/growth/PS matrix; gaps marked: FY27E derived, non-GAAP single-source, Q2 $520M construct, net-cash staleness corrected)
2026-08-18 19:18 UTC | v54-team-CRDO-industry/write | CRDO-team-industry.md written (ops: curl-gnews x15 + yahoo-api x6 + webfetch x13 bodies; dual-sourced: crash attribution, Rubin roadmap, CRDO guidance; gaps marked: Broadcom OFC2026 body 403, lawsuit single-source, MS70B secondary, NVDA 8/26 indirect)
2026-08-18 19:21 UTC | v54-team-CRDO-risk/gnews | CRDO news RSS x4: 9/1盘后财报确认(StockTitan 8-11)+Zacks preview+周一Mizuho VR200 note大涨
2026-08-18 19:21 UTC | v54-team-CRDO-risk/websearch-tool | QUOTA EXHAUSTED (reset 8-22) - gap marked
2026-08-18 19:21 UTC | v54-team-CRDO-risk/webreader-mcp | QUOTA EXHAUSTED - gap marked
2026-08-18 19:21 UTC | v54-team-CRDO-risk/ddg-lite+html | BOT-CAPTCHA BLOCKED x3 - gap marked
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-8k-q4 | CRDO Q4FY26 8-K 6-1: rev 437.0M +157%, GM 68.2, Q1FY27 guide 465-475M
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-yahoo-zacks | Zacks preview body: guide 465-475=+108-113% YoY vs 223.1M; hedge funds 59(-10) holdings -24% to 1.9B
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-marketbeat | 19 analysts 1SB/15B/3H PT avg 268.39 (200-350); TD Cowen 300 (8-18); Zacks downgrade Hold (8-3); Barclays 300 (7-20); Susquehanna 250 (7-21); Evercore init 325 (6-22)
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-openinsider | CRDO insider table: Cheng CTO weekly 27.5k sh mechanical since Jan (owns 5.91M=$1.45B); Lam COO 7-15+7-31 blocks; CFO Fleming 14.6M YTD; no sales filed since 8-4
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-globeandmail | CTO sale article: 10b5-1 Cheng Huang Family Trust 2025-09-05; remaining stake $1.56B at 7-8
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-247wallst | Monday rally cause: Mizuho VR200 supply chain note, CoWoS +75%, networking layer demand
2026-08-18 19:21 UTC | v54-team-CRDO-risk/gnews-x3 | 8-18 selloff: FN -20.8% on beat+guide (MRVL-8.8 LITE-10.1 ALAB-6.6); WSJ 3T hidden AI spend + Burry; optics drop on Anthropic news+WSJ; neoclouds -5~7%
2026-08-18 19:21 UTC | v54-team-CRDO-risk/gnews-x2 | Customer capex: MSFT boosts capex +8% (7-29) Azure>100B RPO 678B+84%; AMZN 2026 capex 220B (7-30); GOOG/META raised again (8-17)
2026-08-18 19:21 UTC | v54-team-CRDO-risk/yahoo-chart-x2 | Final closes 8-18: CRDO 244.71(-13.5%) FN 473.93(-20.8%) MRVL 213.66 ANET 194.79 AVGO 379.05 NVDA 219.61 ALAB 298.95 LITE 871.21
2026-08-18 19:21 UTC | v54-team-CRDO-risk/cboe-options | OPTIONS SUCCESS: 9-4 weekly ATM straddle 47.00=19.3% (vs 11.8% 8-28); Sep18 IV~100-113%; OI 240C=1738
2026-08-18 19:21 UTC | v54-team-CRDO-risk/yahoo-options+quoteSummary | 401/404 blocked x2 - superseded by CBOE
2026-08-18 19:21 UTC | v54-team-CRDO-risk/curl-fn-8k | Fabrinet Q4FY26 8-K 8-17: rev 1315.8M +45% beat guide; Q1 guide 1375-1425M yet stock -20.8% (expectations overshoot)
2026-08-18 19:21 UTC | v54-team-CRDO-risk/gaps | Gaps: WebSearch/webReader/DDG/Zacks直连/StockTitan/TIKR/Fool transcript 404(Q4电话会措辞仅用PR引语)/卖方Q1一致营收数未直接取得
2026-08-18 19:23 UTC | v54-team-CRDO-risk/write | CRDO-team-risk.md written (report; 25 ops: sec x12 + gnews x7 + curl x6 + cboe x1 + yahoo x2 dual-source; gaps marked: quota-blocked tools, transcript, consensus number)
 | 819b3-team-APLD-financial/gnews | Applied Digital fourth quarter fiscal 2026 results revenue
 | 819b3-team-APLD-financial/stockanalysis | 8/18 close 28.51 -8.562026-08-19 09:10 UTC | 819b3-team-APLD-financial/stockanalysis | 8/18 close 28.51 -8.56pct; mktcap 8.31B; shares 291.47M; FY26 rev 611.31M +167.45pct; NI -250.26M; EPS -0.91; 52w 13.16-50.73; PT avg 74.23 x11; next ER 10/8/26
2026-08-19 01:10 UTC | 819b3-team-APLD-risk/gnews | Applied Digital CEO 2026 Wes Cummins or Gumprich
2026-08-19 09:11 UTC | 819b3-team-APLD-financial/edgar-submissions | 10-K FY26 filed 7-29 (apld-20260531.htm); 8-K earnings 7-27 acc 0001144879-26-000044
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q1 Applied Digital news
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q2 Applied Digital gigawatt power gas
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q3 Applied Digital Delta Forge Louisiana
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q4 Polaris Forge 3 hyperscaler 1GW
2026-08-19 01:10 UTC | 819b3-team-APLD-risk/gnews | "Applied Digital CEO" 12条：Wes Cummins全部2026年报道（CNBC 5/27、IBD 4/9、Yahoo/247wallst 6/29、StockTitan 8/4 PSU vesting、DCF 1/27）——无任何"Gumprich任CEO"迹象
2026-08-19 01:10 UTC | 819b3-team-APLD-risk/gnews | "Applied Digital Gumprich" 0条——谷歌新闻无此名与APLD关联
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q5 Meta Compute data center vertical integration
2026-08-19 01:10 UTC | 819b3-team-APLD-risk/sec-edgar | browse-edgar 8-K list UA-blocked 403, retry declared UA
2026-08-19 01:10 UTC | 819b3-team-APLD-industry/gnews | q6 Google Intersect Power data center
